"","design","SensorName","date.time","deltaDay","Value","Unit.1","Mode"
"60","+ 25mL","S_156",2016-09-23 10:11:56,2.9577662037037,5.078,"%O2","humid"
"61","+ 25mL","S_156",2016-09-20 11:24:49,0.00837962962962963,1.167,"%O2","humid"
"62","+ 25mL","S_156",2016-09-20 20:54:40,0.404108796296296,3.349,"%O2","humid"
"63","+ 25mL","S_156",2016-09-20 19:02:59,0.326550925925926,2.986,"%O2","humid"
"64","+ 25mL","H_156",2016-09-20 11:23:08,0.00721064814814815,18.732,"%O2","dry"
"65","+ 25mL","S_156",2016-09-20 11:24:25,0.00810185185185185,2.513,"%O2","humid"
"66","+ 25mL","S_156",2016-09-21 15:33:41,1.1812037037037,4.588,"%O2","humid"
"67","+ 25mL","S_156",2016-09-24 18:28:16,4.30244212962963,5.321,"%O2","humid"
"68","+ 25mL","H_156",2016-09-20 13:48:12,0.107951388888889,4.344,"%O2","dry"
"69","+ 25mL","S_156",2016-09-20 11:26:30,0.00954861111111111,0.389,"%O2","humid"
"70","+ 25mL","H_156",2016-09-20 11:52:40,0.0277199074074074,4.207,"%O2","dry"
"71","+ 25mL","H_156",2016-09-20 16:08:53,0.205648148148148,4.389,"%O2","dry"
"72","+ 25mL","S_156",2016-09-20 13:45:50,0.10630787037037,1.94,"%O2","humid"
"73","+ 25mL","H_156",2016-09-24 18:31:01,4.30435185185185,5.237,"%O2","dry"
"74","+ 25mL","S_156",2016-09-22 13:50:17,2.10939814814815,4.866,"%O2","humid"
"75","+ 25mL","S_156",2016-09-20 11:25:11,0.00863425925925926,0.685,"%O2","humid"
"76","+ 25mL","S_156",2016-09-20 11:26:06,0.00927083333333333,0.419,"%O2","humid"
"77","+ 25mL","S_156",2016-09-20 16:06:03,0.203680555555556,2.529,"%O2","humid"
"78","+ 25mL","H_156",2016-09-22 13:52:38,2.11103009259259,4.754,"%O2","dry"
"79","+ 25mL","H_156",2016-09-21 15:32:41,1.18050925925926,4.578,"%O2","dry"
"80","+ 25mL","S_156",2016-09-20 11:25:37,0.00893518518518518,0.496,"%O2","humid"
"81","+ 25mL","S_156",2016-09-20 11:54:04,0.0286921296296296,1.035,"%O2","humid"
"82","+ 25mL","H_156",2016-09-23 10:15:07,2.95997685185185,4.944,"%O2","dry"
"83","+ 50mL","S_157",2016-09-21 13:55:41,1.11314814814815,6.396,"%O2","humid"
"84","+ 50mL","S_157",2016-09-20 11:29:03,0.0113194444444444,19.113,"%O2","humid"
"85","+ 50mL","S_157",2016-09-20 11:30:02,0.0120023148148148,7.022,"%O2","humid"
"86","+ 50mL","S_157",2016-09-21 15:33:48,1.18128472222222,6.378,"%O2","humid"
"87","+ 50mL","S_157",2016-09-20 20:54:47,0.404189814814815,4.904,"%O2","humid"
"88","+ 50mL","S_157",2016-09-20 19:03:08,0.326655092592593,4.473,"%O2","humid"
"89","+ 50mL","H_157",2016-09-20 11:29:27,0.0115972222222222,19.009,"%O2","dry"
"90","+ 50mL","H_157",2016-09-20 19:05:20,0.32818287037037,6.294,"%O2","dry"
"91","+ 50mL","S_157",2016-09-20 11:31:42,0.0131597222222222,0.816,"%O2","humid"
"92","+ 50mL","H_157",2016-09-20 11:52:49,0.0278240740740741,6.109,"%O2","dry"
"93","+ 50mL","H_157",2016-09-20 20:56:46,0.40556712962963,6.316,"%O2","dry"
"94","+ 50mL","S_157",2016-09-20 11:31:18,0.0128819444444444,1.306,"%O2","humid"
"95","+ 50mL","H_157",2016-09-20 13:48:19,0.108032407407407,6.229,"%O2","dry"
"96","+ 50mL","S_157",2016-09-20 11:33:22,0.0143171296296296,0.392,"%O2","humid"
"97","+ 50mL","S_157",2016-09-20 13:45:58,0.106400462962963,2.537,"%O2","humid"
"98","+ 50mL","H_157",2016-09-20 20:56:59,0.405717592592593,6.316,"%O2","dry"
"99","+ 50mL","S_157",2016-09-23 10:12:02,2.95783564814815,6.891,"%O2","humid"
"100","+ 50mL","S_157",2016-09-20 16:06:09,0.20375,3.338,"%O2","humid"
"101","+ 50mL","H_157",2016-09-20 16:09:00,0.205729166666667,6.282,"%O2","dry"
"102","+ 50mL","S_157",2016-09-24 18:28:25,4.3025462962963,7.153,"%O2","humid"
"103","+ 50mL","H_157",2016-09-21 15:32:47,1.1805787037037,6.44,"%O2","dry"
"104","+ 50mL","S_157",2016-09-20 11:54:11,0.0287731481481481,1.254,"%O2","humid"
"105","+ 50mL","S_157",2016-09-20 11:32:13,0.0135185185185185,0.497,"%O2","humid"
"106","+ 50mL","S_157",2016-09-22 13:50:23,2.10946759259259,6.69,"%O2","humid"
"107","+ 50mL","H_157",2016-09-24 18:31:07,4.3044212962963,7.066,"%O2","dry"
"108","+ 50mL","H_157",2016-09-22 13:52:45,2.11111111111111,6.625,"%O2","dry"
"109","+ 50mL","H_157",2016-09-23 10:15:14,2.96005787037037,6.811,"%O2","dry"
"110","+ 100mL","S_158",2016-09-20 11:37:41,0.0173148148148148,1.002,"%O2","humid"
"111","+ 100mL","H_158",2016-09-20 13:48:27,0.108125,8.769,"%O2","dry"
"112","+ 100mL","H_158",2016-09-20 11:34:52,0.0153587962962963,19.098,"%O2","dry"
"113","+ 100mL","H_158",2016-09-20 20:57:06,0.405798611111111,8.851,"%O2","dry"
"114","+ 100mL","H_158",2016-09-20 16:09:06,0.205798611111111,8.821,"%O2","dry"
"115","+ 100mL","S_158",2016-09-20 11:36:54,0.0167708333333333,3.044,"%O2","humid"
"116","+ 100mL","S_158",2016-09-20 11:54:31,0.0290046296296296,1.697,"%O2","humid"
"117","+ 100mL","S_158",2016-09-20 20:54:54,0.404270833333333,6.397,"%O2","humid"
"118","+ 100mL","S_158",2016-09-21 15:33:57,1.18138888888889,8.737,"%O2","humid"
"119","+ 100mL","H_158",2016-09-20 11:53:03,0.0279861111111111,8.615,"%O2","dry"
"120","+ 100mL","S_158",2016-09-21 13:55:52,1.11327546296296,8.655,"%O2","humid"
"121","+ 100mL","S_158",2016-09-20 11:34:30,0.0151041666666667,19.123,"%O2","humid"
"122","+ 100mL","H_158",2016-09-20 19:05:28,0.328275462962963,8.813,"%O2","dry"
"123","+ 100mL","S_158",2016-09-20 16:06:22,0.203900462962963,4.526,"%O2","humid"
"124","+ 100mL","S_158",2016-09-20 13:46:09,0.106527777777778,3.597,"%O2","humid"
"125","+ 100mL","S_158",2016-09-24 18:28:34,4.30265046296296,9.305,"%O2","humid"
"126","+ 100mL","S_158",2016-09-20 19:03:20,0.326793981481481,5.725,"%O2","humid"
"127","+ 100mL","S_158",2016-09-20 11:38:06,0.0176041666666667,0.527,"%O2","humid"
"128","+ 100mL","H_158",2016-09-24 18:31:15,4.30451388888889,9.391,"%O2","dry"
"129","+ 100mL","H_158",2016-09-22 13:52:52,2.11119212962963,9.052,"%O2","dry"
"130","+ 100mL","H_158",2016-09-23 10:15:19,2.96011574074074,9.197,"%O2","dry"
"131","+ 100mL","S_158",2016-09-20 11:38:33,0.0179166666666667,0.394,"%O2","humid"
"132","+ 100mL","S_158",2016-09-23 10:12:09,2.95791666666667,9.261,"%O2","humid"
"133","+ 100mL","S_158",2016-09-22 13:50:31,2.10956018518519,9.078,"%O2","humid"
"134","+ 100mL","H_158",2016-09-21 15:32:54,1.18065972222222,8.917,"%O2","dry"
"135","+ 200mL","S_159",2016-09-20 11:43:58,0.0216782407407407,0.321,"%O2","humid"
"136","+ 200mL","S_159",2016-09-20 16:06:28,0.203969907407407,7.113,"%O2","humid"
"137","+ 200mL","H_159",2016-09-20 16:09:13,0.20587962962963,13.827,"%O2","dry"
"138","+ 200mL","S_159",2016-09-20 11:43:36,0.0214236111111111,0.373,"%O2","humid"
"139","+ 200mL","S_159",2016-09-23 10:12:38,2.95825231481481,13.811,"%O2","humid"
"140","+ 200mL","H_159",2016-09-20 19:05:34,0.328344907407407,13.787,"%O2","dry"
"141","+ 200mL","S_159",2016-09-20 11:43:18,0.0212152777777778,0.599,"%O2","humid"
"142","+ 200mL","S_159",2016-09-20 13:46:17,0.10662037037037,6.188,"%O2","humid"
"143","+ 200mL","S_159",2016-09-20 19:03:30,0.326909722222222,8.769,"%O2","humid"
"144","+ 200mL","S_159",2016-09-20 11:54:38,0.0290856481481481,2.588,"%O2","humid"
"145","+ 200mL","H_159",2016-09-22 13:52:58,2.11126157407407,13.801,"%O2","dry"
"146","+ 200mL","S_159",2016-09-20 20:55:02,0.404363425925926,9.74,"%O2","humid"
"147","+ 200mL","S_159",2016-09-20 11:42:34,0.0207060185185185,0.874,"%O2","humid"
"148","+ 200mL","H_159",2016-09-20 11:40:26,0.019224537037037,18.346,"%O2","dry"
"149","+ 200mL","S_159",2016-09-21 13:55:58,1.11334490740741,13.292,"%O2","humid"
"150","+ 200mL","H_159",2016-09-24 18:31:31,4.30469907407407,13.936,"%O2","dry"
"151","+ 200mL","S_159",2016-09-21 15:34:04,1.18146990740741,13.413,"%O2","humid"
"152","+ 200mL","S_159",2016-09-24 18:28:45,4.30277777777778,13.792,"%O2","humid"
"153","+ 200mL","S_159",2016-09-20 11:41:36,0.0200347222222222,4.308,"%O2","humid"
"154","+ 200mL","H_159",2016-09-20 20:57:14,0.405891203703704,13.821,"%O2","dry"
"155","+ 200mL","S_159",2016-09-23 10:12:30,2.95815972222222,13.828,"%O2","humid"
"156","+ 200mL","H_159",2016-09-20 11:53:18,0.0281597222222222,13.746,"%O2","dry"
"157","+ 200mL","H_159",2016-09-20 13:48:33,0.108194444444444,13.786,"%O2","dry"
"158","+ 200mL","S_159",2016-09-22 13:50:40,2.10966435185185,13.735,"%O2","humid"
"159","+ 200mL","H_159",2016-09-23 10:15:26,2.96019675925926,13.86,"%O2","dry"
"160","+ 200mL","S_159",2016-09-21 15:34:07,1.18150462962963,13.386,"%O2","humid"
"161","+ 200mL","H_159",2016-09-21 15:33:00,1.18072916666667,13.784,"%O2","dry"
"162","+ 200mL","S_159",2016-09-20 11:39:37,0.0186574074074074,18.343,"%O2","humid"
"163","+ 400mL","S_160",2016-09-20 20:55:11,0.404467592592593,12.506,"%O2","humid"
"164","+ 400mL","S_160",2016-09-20 16:06:35,0.204050925925926,9.147,"%O2","humid"
"165","+ 400mL","S_160",2016-09-20 11:48:22,0.0247337962962963,0.596,"%O2","humid"
"166","+ 400mL","S_160",2016-09-23 10:12:50,2.9583912037037,16.343,"%O2","humid"
"167","+ 400mL","H_160",2016-09-24 18:31:43,4.30483796296296,16.378,"%O2","dry"
"168","+ 400mL","H_160",2016-09-20 16:09:20,0.205960648148148,16.479,"%O2","dry"
"169","+ 400mL","S_160",2016-09-20 19:03:38,0.327002314814815,11.243,"%O2","humid"
"170","+ 400mL","H_160",2016-09-20 19:05:41,0.328425925925926,16.404,"%O2","dry"
"171","+ 400mL","S_160",2016-09-24 18:28:55,4.30289351851852,16.283,"%O2","humid"
"172","+ 400mL","H_160",2016-09-20 20:57:22,0.405983796296296,16.462,"%O2","dry"
"173","+ 400mL","S_160",2016-09-20 11:47:47,0.0243287037037037,2.67,"%O2","humid"
"174","+ 400mL","H_160",2016-09-20 11:12:56,0.000127314814814815,19.038,"%O2","dry"
"175","+ 400mL","S_160",2016-09-20 11:47:20,0.0240162037037037,6.611,"%O2","humid"
"176","+ 400mL","H_160",2016-09-20 11:45:59,0.0230787037037037,18.273,"%O2","dry"
"177","+ 400mL","S_160",2016-09-21 13:56:05,1.11342592592593,15.819,"%O2","humid"
"178","+ 400mL","S_160",2016-09-20 11:48:57,0.0251388888888889,0.328,"%O2","humid"
"179","+ 400mL","S_160",2016-09-20 11:54:54,0.0292708333333333,3.736,"%O2","humid"
"180","+ 400mL","H_160",2016-09-21 15:33:06,1.18079861111111,16.309,"%O2","dry"
"181","+ 400mL","S_160",2016-09-20 11:45:09,0.0225,18.233,"%O2","humid"
"182","+ 400mL","S_160",2016-09-21 15:34:15,1.18159722222222,15.942,"%O2","humid"
"183","+ 400mL","H_160",2016-09-22 13:53:05,2.11134259259259,16.346,"%O2","dry"
"184","+ 400mL","H_160",2016-09-20 11:53:29,0.028287037037037,16.394,"%O2","dry"
"185","+ 400mL","S_160",2016-09-20 13:46:25,0.106712962962963,6.508,"%O2","humid"
"186","+ 400mL","H_160",2016-09-20 13:48:42,0.108298611111111,16.397,"%O2","dry"
"187","+ 400mL","S_160",2016-09-22 13:50:49,2.10976851851852,16.259,"%O2","humid"
"188","+ 400mL","H_160",2016-09-23 10:15:33,2.96027777777778,16.331,"%O2","dry"
